Ron Docken,1948-01-01T00:00:00+02:00,1948-11-05,,{Minnesota|Minneapolis|United States}
Joe Cavanagh,1948-01-01T00:00:00+02:00,1948-04-13,male,{Rhode Island|Providence Rhode Island|United States}
Bob Johnson (ice hockey born 1948),1948-01-01T00:00:00+02:00,1948-11-12,male,{Michigan|Farmington Michigan|United States}
Kevin Ahearn,1948-01-01T00:00:00+02:00,1948-06-20,male,{Milton Massachusetts|Massachusetts|United States}
Tim Regan (ice hockey),1949-01-01T00:00:00+02:00,1949-12-28,male,{Rhode Island|Providence Rhode Island|United States}
Mike Baumgartner,1949-01-01T00:00:00+02:00,1949-01-30,,{Minnesota|Roseau Minnesota|United States}
Mike Christie (ice hockey),1949-01-01T00:00:00+02:00,1949-12-20,male,{Texas|Big Spring Texas|United States}
Phil Hoene,1949-01-01T00:00:00+02:00,1949-03-15,,{Minnesota|Duluth Minnesota|United States}
Stuart Irving,1949-01-01T00:00:00+02:00,1949-02-02,male,{Beverly Massachusetts|Massachusetts|United States}
Bob Collyard,1949-01-01T00:00:00+02:00,1949-10-16,,{Minnesota|Hibbing Minnesota|United States}
Bobby Sheehan (ice hockey),1949-01-01T00:00:00+02:00,1949-01-11,,{Weymouth Massachusetts|Massachusetts|United States}
Wally Olds,1949-01-01T00:00:00+02:00,1949-08-17,male,{Minnesota|Warroad Minnesota|United States}
Ab DeMarco Jr.,1949-01-01T00:00:00+02:00,1949-02-27,male,{Cleveland|Ohio|United States}
Tom Mellor,1950-01-01T00:00:00+02:00,1950-01-27,,{Rhode Island|Cranston Rhode Island|United States}
Gerry O'Flaherty,1950-01-01T00:00:00+02:00,1950-08-31,,{Pennsylvania|Pittsburgh|United States}
Glenn Patrick,1950-01-01T00:00:00+02:00,1950-04-26,male,{New York City|United States|New York}
Mike Antonovich (ice hockey),1951-01-01T00:00:00+02:00,1951-10-18,male,{Minnesota|Calumet Minnesota|United States}
Henry Boucha,1951-01-01T00:00:00+02:00,1951-06-01,,{Minnesota|Warroad Minnesota|United States}
Earl Anderson,1951-01-01T00:00:00+02:00,1951-02-24,,{Minnesota|Roseau Minnesota|United States}
Joe Noris,1951-01-01T00:00:00+02:00,1951-10-26,,{Colorado|Denver|United States}
Dale Smedsmo,1951-01-01T00:00:00+02:00,1951-04-23,male,{Minnesota|Roseau Minnesota|United States}
Karen Koch,1951-01-01T00:00:00+02:00,1951-10-03,female,{Michigan|Monroe Michigan|United States}
Fred Ahern,1952-01-01T00:00:00+02:00,1952-02-12,male,{Boston|Massachusetts|United States}
Mike Milbury,1952-01-01T00:00:00+02:00,1952-06-17,male,{Brighton Boston|Massachusetts|United States}
Harvey Bennett Jr.,1952-01-01T00:00:00+02:00,1952-08-09,male,{Rhode Island|Cranston Rhode Island|United States}
Jan Janssen (ice hockey),1952-01-01T00:00:00+02:00,1952-05-17,male,{Illinois|Chicago Heights Illinois|United States}
Robbie Ftorek,1952-01-01T00:00:00+02:00,1952-01-02,male,{Needham Massachusetts|Massachusetts|United States}
Bill Nyrop,1952-01-01T00:00:00+02:00,1952-07-23,,{Washington D.C.|United States}
Chris Ahrens (ice hockey),1952-01-01T00:00:00+02:00,1952-07-31,,{California|San Bernardino California|United States}
Tim O'Connell,1953-01-01T00:00:00+02:00,1953-10-26,male,{Chicago|Illinois|United States}
Tom Machowski,1953-01-01T00:00:00+02:00,1953-05-07,male,{Chicago|Illinois|United States}
Guido Tenesi,1953-01-01T00:00:00+02:00,1953-07-05,male,{Detroit|Michigan|United States}
