"234",832500,"95-02-09","Klagenfurt","","AUT","Sweden",75,205,2013,1,23,"L","Burakovsky","Andre","LW/C","WSH",64,12,23,9,14,35,13,0,14,1054,50931,848,13.27,13.26,"24.90%","79.50%","9.30%","0.937","1030","3.11","1.63","65.70%",21,"1.49",222,222,145,111,111,111,10.7,36,7,20,"27",30.4,28.5,"208.3",31,31,79,"-48",34,33,33,25,33,33,25,"3.70%",2,5,2,5,"28.60%","1.00%",0,0,0,0,2,5,1,1,0,3,2,2,0,6,1,0,0,0,0,0,0,2,1,0,9,0,3,4,27,3,1,5,18,3,0,81,7,5,8,5,-2,-1.7,7,0,0,0,0,958,668,654,521,471,363,39.3,33.4,126,108,44,23,24,38,49,42,73,80,353,363,268,331,141,118,50,47,2.8,1.4,4.1,2552.27,70,9.1,"115.1",41.6,0.65
"254",3e+06,"94-01-20","Helsingborg","","Sweden","Sweden",75,205,2012,1,6,"L","Lindholm","Hampus","D","ANA",66,6,14,5,9,20,13,17.8,36,1786,88900,1476.8,22.45,22.42,"37.50%","32.30%","8.30%","0.926","1009","2.52","1.95","56.40%",14,"0.57",203,203,132,94,94,94,6.3,11,4,6,"10",48.5,38.6,"117",98,98,119,"-21",38,63,18,94,63,18,94,"7.30%",2,0,2,0,"100.00%","0.10%",0,0,1,0,1,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,1,2,1,0,2,0,4,1,33,1,0,33,12,1,1,46,18,12,18,10,-6,1.2,18,0,0,0,0,1410,1288,1046,970,746,647,76,65.7,271,221,62,48,60,47,75,70,135,117,751,672,690,522,227,126,88,91,1.1,4.5,5.6,2465.56,228,6.4,"109.6",33.3,0.5
"274",5500000,"81-01-12","Stockholm","","Sweden","Sweden",72,194,2000,1,29,"L","Kronwall","Niklas","D","DET",57,2,11,5,6,13,-7,2.8,32,1466,66530,1106.8,19.45,19.44,"32.80%","28.30%","8.00%","0.914","994","2.49","2.55","49.50%",-1,"-0.05",137,137,90,67,67,67,4.3,10,2,2,"4",43.5,42.1,"90.7",77,77,61,"16",23,23,6,81,23,6,81,"8.60%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,19,4,0,28,8,1,0,26,16,3,16,3,-13,-6.8,16,0,0,0,0,1035,943,788,716,573,547,55.8,46.1,205,152,46,47,31,34,44,54,75,88,612,498,348,400,157,92,63,54,0.3,2.1,2.3,2270.49,190,5.2,"107.2",12.8,0.22
"287",4250000,"90-12-18","Ornskoldsvik","","Sweden","Sweden",78,223,2009,1,2,"L","Hedman","Victor","D","T.B",79,16,56,34,22,72,3,-3.4,47,2201,116175,1923.8,24.5,24.45,"40.80%","61.50%","11.80%","0.913","1031","3.65","2.43","60.00%",39,"1.22",408,397,270,166,166,166,10.8,19,14,9,"23",49.7,46.4,"438.2",93,93,116,"-23",104,73,39,132,73,39,132,"8.30%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,2,0,0,0,0,4,2,2,0,8,2,1,8,93,4,0,72,17,4,0,69,22,21,21,16,-1,4.1,21,1,0,0,0,1919,1581,1424,1218,995,901,88.2,73.3,276,229,117,78,77,58,66,104,143,162,1033,1106,638,659,259,206,123,137,7.3,4.7,12,2789.47,273,6.3,"109.2",75.4,0.95
"313",1700000,"91-09-25","G_vle","","Sweden","Sweden",71,186,2010,2,51,"R","Jarnkrok","Calle","C","NSH",81,15,16,7,9,31,-1,6.1,25,1878,76428,1271.4,15.72,15.71,"26.90%","60.80%","9.00%","0.914","1004","2.41","2.5","49.00%",-2,"-0.09",233,233,180,134,134,134,13.1,46,11,15,"26",29,26.1,"80.7",49,49,86,"-37",46,22,23,29,22,23,29,"2.50%",452,463,452,463,"49.40%","68.60%",156,195,176,145,120,123,117,126,190,180,277,274,1,3,1,0,0,0,2,0,0,1,1,0,11,0,2,11,33,9,4,10,13,13,0,85,11,17,11,14,6,1.6,10,1,0,0,0,1080,1181,788,886,566,617,49.9,52,159,157,51,53,45,37,52,46,97,83,661,673,367,446,168,141,58,80,1.6,1.3,2.9,3455.71,104,7.2,"106.7",35.4,0.44
"316",3667000,"88-08-23","Sodertalje","","Sweden","Sweden",71,186,2007,6,168,"L","Hagelin","Carl","LW","PIT",61,6,16,8,8,22,10,7.1,16,1334,56693,942.9,15.48,15.48,"28.60%","56.40%","7.90%","0.914","993","2.48","2.74","47.60%",-4,"-0.25",200,199,171,128,128,128,10.8,36,9,9,"18",30.5,28.5,"179.7",66,66,76,"-10",43,21,19,24,21,19,24,"2.60%",3,3,3,3,"50.00%","0.60%",1,0,0,0,2,3,2,1,1,0,1,2,0,0,2,1,0,1,0,0,1,2,0,0,3,0,0,7,36,13,0,14,28,7,2,64,8,14,8,13,6,5.7,8,0,0,0,0,855,913,664,666,494,500,40.7,46.1,136,158,39,43,34,40,28,34,62,74,442,518,318,420,129,112,50,65,0.4,1.1,1.5,2359.71,106,10.6,"112.5",33.2,0.54
"318",3e+06,"93-07-20","Karlstad","","Sweden","Sweden",75,220,2011,1,19,"L","Klefbom","Oscar","D","EDM",82,12,26,15,11,38,7,7.3,6,2197,110061,1823.1,22.37,22.32,"37.10%","35.80%","10.80%","0.906","1014","3.49","2.67","56.70%",25,"0.82",398,398,285,201,201,201,8.9,11,5,11,"16",48.8,47,"257.8",43,43,151,"-108",84,67,29,146,67,29,146,"8.90%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,7,3,0,0,1,0,4,5,75,8,0,85,35,0,0,73,3,5,3,3,2,9.6,3,0,0,0,0,1786,1644,1362,1194,979,863,92.1,86.2,338,302,106,81,62,80,92,95,154,175,836,948,741,638,332,217,93,99,3.3,4.3,7.6,3096.86,195,24,"112.9",50.2,0.61
"346",925000,"98-05-07","Alvkarleby","","Sweden","Finland",76,203,2016,1,4,"R","Puljujarvi","Jesse","RW","EDM",28,1,7,7,0,8,5,2.3,10,439,18907,315,11.25,11.25,"23.20%","66.70%","7.40%","0.955","1029","2.29","1.14","66.70%",6,"1.14",69,69,56,41,41,41,3.3,12,0,5,"5",39.8,36.5,"168.3",11,11,21,"-10",15,10,12,10,10,12,10,"4.20%",0,1,0,1,"0.00%","0.40%",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,11,0,0,3,14,2,1,21,5,3,4,2,-2,-1.7,5,0,0,0,0,307,237,231,178,163,134,14.1,11,50,35,12,6,9,5,18,17,27,22,106,147,144,127,50,31,15,20,0.1,0.6,0.7,1042.06,31,4.6,"103.6",11.4,0.41
"390",4100000,"87-06-06","Eksjo","","Sweden","Sweden",75,197,2005,4,108,"L","Hjalmarsson","Niklas","D","CHI",73,5,13,7,6,18,12,-2.6,20,2061,94148,1560.4,21.5,21.46,"37.20%","30.50%","9.20%","0.913","1005","2.27","2.88","44.00%",-16,"-0.62",135,135,78,61,61,61,2.7,7,2,3,"5",49,46.8,"138.7",23,23,148,"-125",17,70,23,181,70,23,181,"11.70%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,2,13,1,0,35,6,1,0,18,10,9,10,8,-1,5.7,10,0,0,0,0,1193,1551,861,1131,639,858,52,78.5,177,280,59,75,30,54,57,80,87,134,782,829,325,624,255,209,62,75,0.6,3.8,4.4,2631.61,224,4.6,"105.5",24.9,0.34
"460",7e+05,"92-11-24","Stockholm","","Sweden","Sweden",73,200,2011,5,126,"L","Claesson","Fredrik","D","OTT",33,3,8,3,5,11,5,5.8,4,615,26016,432.8,13.13,13.13,"25.00%","78.60%","6.30%","0.929","991","1.94","1.8","51.90%",1,"0.14",72,72,37,25,25,25,1.4,2,3,4,"7",48.8,40.4,"101.1",55,55,59,"-4",12,15,4,24,15,4,24,"6.30%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,11,1,0,14,4,0,1,5,2,1,1,0,-1,1.1,2,0,0,0,0,425,381,302,282,223,182,17.8,15.8,54,48,14,13,21,17,34,13,55,30,225,202,191,185,59,51,26,33,1,1.4,2.4,1297.89,83,29.5,"111.7",13.2,0.4
