Lasse Pirjetä,1974-01-01T00:00:00+02:00,1974-04-04,,{Finland|Oulu}
Jari Kauppila,1974-01-01T00:00:00+02:00,1974-02-23,,{Finland|Lammi}
Juha Lind,1974-01-01T00:00:00+02:00,1974-01-02,male,{Finland|Helsinki}
Jukka Hentunen,1974-01-01T00:00:00+02:00,1974-05-03,,{Finland|Joroinen}
Jyrki Aho,1974-01-01T00:00:00+02:00,1974-07-14,,{Finland|Jyväskylä}
Pasi Nielikäinen,1974-01-01T00:00:00+02:00,1974-02-11,,{Finland|Oulainen}
Saku Koivu,1974-01-01T00:00:00+02:00,1974-11-23,male,{Finland|Turku}
Sami Helenius,1974-01-01T00:00:00+02:00,1974-01-22,male,{Finland|Helsinki}
Sami Salo,1974-01-01T00:00:00+02:00,1974-09-02,male,{Finland|Turku}
Kimmo Kapanen,1974-01-01T00:00:00+02:00,1974-09-12,,{Finland|Vantaa}
Hannes Hyvönen,1975-01-01T00:00:00+02:00,1975-08-29,,{Finland|Oulu}
Mika Lehtinen,1975-01-01T00:00:00+02:00,1975-05-23,male,{Finland|Turku}
Tommi Kovanen,1975-01-01T00:00:00+02:00,1975-07-15,,{Finland|Pieksämäki}
Tommi Miettinen,1975-01-01T00:00:00+02:00,1975-12-03,male,{Finland|Kuopio}
Toni Mäkiaho,1975-01-01T00:00:00+02:00,1975-01-11,,{Finland|Tampere}
Markus Korhonen,1975-01-01T00:00:00+02:00,1975-04-29,,{Finland|Tampere}
Jani Hurme,1975-01-01T00:00:00+02:00,1975-01-07,male,{Finland|Turku}
Janne Niinimaa,1975-01-01T00:00:00+02:00,1975-05-22,male,{Finland|Raahe}
Jarkko Ruutu,1975-01-01T00:00:00+02:00,1975-08-23,male,{Finland|Vantaa}
Jussi Markkanen,1975-01-01T00:00:00+02:00,1975-05-08,male,{Finland|Imatra}
Antti Aalto,1975-01-01T00:00:00+02:00,1975-03-04,,{Finland|Lappeenranta}
Pasi Nurminen,1975-01-01T00:00:00+02:00,1975-12-17,male,{Finland|Lahti}
Rami Alanko,1975-01-01T00:00:00+02:00,1975-12-31,male,{Finland|Helsinki}
Petri Kokko (ice hockey),1975-01-01T00:00:00+02:00,1975-02-01,,{Finland|Oulu}
Tero Leinonen,1975-01-01T00:00:00+02:00,1975-03-09,,{Finland|Mikkeli}
Jere Karalahti,1975-01-01T00:00:00+02:00,1975-03-25,male,{Finland|Helsinki}
Kimmo Kuhta,1975-01-01T00:00:00+02:00,1975-06-19,,{Finland|Helsinki}
Kimmo Timonen,1975-01-01T00:00:00+02:00,1975-03-18,,{Finland|Kuopio}
Miikka Kiprusoff,1976-01-01T00:00:00+02:00,1976-10-26,male,{Finland|Turku}
Mikko Laine,1976-01-01T00:00:00+02:00,1976-02-09,,{Finland|Espoo}
Jukka Laamanen,1976-01-01T00:00:00+02:00,1976-10-04,,{Finland|Savonlinna}
Jyrki Välivaara,1976-01-01T00:00:00+02:00,1976-05-30,male,{Finland|Jyväskylä}
Petri Pakaslahti,1976-01-01T00:00:00+02:00,1976-01-22,male,{Finland|Tampere}
Martti Järventie,1976-01-01T00:00:00+02:00,1976-04-04,male,{Finland|Tampere}
Kimmo Lotvonen,1976-01-01T00:00:00+02:00,1976-01-11,,{Finland|Oulu}
Esa Pirnes,1977-01-01T00:00:00+02:00,1977-04-01,,{Finland|Oulu}
Timo Pärssinen,1977-01-01T00:00:00+02:00,1977-01-19,,{Finland|Lohja}
Miika Elomo,1977-01-01T00:00:00+02:00,1977-04-21,male,{Finland|Turku}
Mikko Markkanen,1977-01-01T00:00:00+02:00,1977-01-09,,{Finland|Turku}
Tomi Hirvonen,1977-01-01T00:00:00+02:00,1977-01-11,male,{Finland|Tampere}
Tomi Kallio,1977-01-01T00:00:00+02:00,1977-01-27,,{Finland|Turku}
Tomi Pettinen,1977-01-01T00:00:00+02:00,1977-06-17,male,{Finland|Ylöjärvi}
Toni Lydman,1977-01-01T00:00:00+02:00,1977-09-25,male,{Finland|Lahti}
Lauri Marjamäki,1977-01-01T00:00:00+02:00,1977-05-29,male,{Finland|Tampere}
Marko Mäkinen,1977-01-01T00:00:00+02:00,1977-03-31,,{Finland|Turku}
Jani Virtanen (ice hockey),1977-01-01T00:00:00+02:00,1977-03-01,male,{Finland|Tampere}
Antti-Jussi Niemi,1977-01-01T00:00:00+02:00,1977-09-22,,{Finland|Vantaa}
Pasi Häkkinen,1977-01-01T00:00:00+02:00,1977-06-25,male,{Finland|Lappeenranta}
Petri Vehanen,1977-01-01T00:00:00+02:00,1977-10-09,,{Finland|Rauma Finland}
Teemu Riihijärvi,1977-01-01T00:00:00+02:00,1977-03-01,male,{Finland|Espoo}
Vesa Toskala,1977-01-01T00:00:00+02:00,1977-05-20,male,{Finland|Tampere}
Ville Nieminen,1977-01-01T00:00:00+02:00,1977-04-06,,{Finland|Tampere}
Ville Vahalahti,1977-01-01T00:00:00+02:00,1977-11-07,male,{Finland|Pargas}
Santeri Heiskanen,1977-01-01T00:00:00+02:00,1977-04-13,,{Finland|Helsinki}
Aki Berg,1977-01-01T00:00:00+02:00,1977-07-28,male,{Finland|Raisio}
Timo Ahmaoja,1978-01-01T00:00:00+02:00,1978-08-08,male,{Finland|Jyväskylä}
Pauli Levokari,1978-01-01T00:00:00+02:00,1978-04-07,male,{Finland|Luvia}
Tomi Pöllänen,1978-01-01T00:00:00+02:00,1978-05-26,,{Finland|Joensuu}
Toni Söderholm,1978-01-01T00:00:00+02:00,1978-04-14,,{Finland|Kauniainen}
Ari Vallin,1978-01-01T00:00:00+02:00,1978-03-21,,{Finland|Ylöjärvi}
Olli Jokinen,1978-01-01T00:00:00+02:00,1978-12-05,male,{Finland|Kuopio}
Pasi Petriläinen,1978-01-01T00:00:00+02:00,1978-05-05,,{Finland|Pirkkala}
