Peter Gustavsson,1958-01-01T00:00:00+02:00,1958-03-30,male,{Sweden|Bollebygd}
Rolf Ridderwall,1958-01-01T00:00:00+02:00,1958-11-20,male,Sweden
Tomas Nord,1958-01-01T00:00:00+02:00,1958-07-18,male,{Sweden|Vetlanda Municipality}
Kjell Samuelsson,1958-01-01T00:00:00+02:00,1958-10-18,male,{Sweden|Tingsryd}
Jan Eriksson (ice hockey),1958-01-01T00:00:00+02:00,1958-01-14,,{Sweden|Sollefteå}
Janne Karlsson (ice hockey b. 1958),1958-01-01T00:00:00+02:00,1958-08-28,male,{Sweden|Växjö}
Bengt-Åke Gustafsson,1958-01-01T00:00:00+02:00,1958-03-23,male,{Sweden|Karlskoga}
Bo Ericson (ice hockey),1958-01-01T00:00:00+02:00,1958-01-23,male,{Stockholm|Sweden}
Mats Hallin,1958-01-01T00:00:00+02:00,1958-03-09,male,{Sweden|Eskilstuna}
Christer Kellgren,1958-01-01T00:00:00+02:00,1958-08-15,male,{Gothenburg|Sweden}
Thomas Eriksson (ice hockey),1959-01-01T00:00:00+02:00,1959-10-16,male,{Stockholm|Sweden}
Håkan Södergren,1959-01-01T00:00:00+02:00,1959-06-14,,{Sweden|Rosersberg}
Pelle Lindbergh,1959-01-01T00:00:00+02:00,1959-05-24,,{Stockholm|Sweden}
Mikael Andersson (ice hockey born 1959),1959-01-01T00:00:00+02:00,1959-07-06,male,{Sweden|Jukkasjärvi}
Stephan Lundh,1959-01-01T00:00:00+02:00,1959-11-06,male,{Stockholm|Sweden}
Stephen Foyn,1959-01-01T00:00:00+02:00,1959-06-23,male,{Sweden|Karlstad}
Mats Näslund,1959-01-01T00:00:00+02:00,1959-10-31,male,{Sweden|Timrå}
Håkan Loob,1960-01-01T00:00:00+02:00,1960-07-03,male,{Visby|Sweden}
Göran Sjöberg,1960-01-01T00:00:00+02:00,1960-06-08,male,Sweden
Tomas Jonsson,1960-01-01T00:00:00+02:00,1960-04-12,male,{Sweden|Falun}
Tommy Samuelsson,1960-01-01T00:00:00+02:00,1960-01-12,male,{Sweden|Degerfors}
Lars-Gunnar Pettersson,1960-01-01T00:00:00+02:00,1960-04-08,male,{Sweden|Luleå}
Anders Carlsson,1960-01-01T00:00:00+02:00,1960-11-25,male,{Sweden|Gävle}
Anders Eldebrink,1960-01-01T00:00:00+02:00,1960-12-11,male,{Sweden|Morjärv}
Patrik Sundström,1961-01-01T00:00:00+02:00,1961-12-14,,{Sweden|Skellefteå}
Roger Hägglund,1961-01-01T00:00:00+02:00,1961-07-02,,{Sweden|Umeå}
Michael Thelvén,1961-01-01T00:00:00+02:00,1961-01-07,,{Stockholm|Sweden}
Lars Eriksson (ice hockey),1961-01-01T00:00:00+02:00,1961-04-16,,Sweden
Jan Ingman,1961-01-01T00:00:00+02:00,1961-11-25,,{Sweden|Grums}
Martin Pettersson,1961-01-01T00:00:00+02:00,1961-01-19,,Sweden
Peter Åslin,1962-01-01T00:00:00+02:00,1962-09-21,,{Sweden|Norrtälje}
Peter Andersson (ice hockey b. 1962),1962-01-01T00:00:00+02:00,1962-03-02,,{Stockholm|Sweden}
Peter Nilsson,1962-01-01T00:00:00+02:00,1962-06-10,male,{Stockholm|Sweden}
Jan Erixon,1962-01-01T00:00:00+02:00,1962-07-08,male,{Sweden|Skellefteå}
Robert Nordmark,1962-01-01T00:00:00+02:00,1962-08-20,male,{Sweden|Luleå}
Jens Öhling,1962-01-01T00:00:00+02:00,1962-04-03,male,{Sweden|Nacka}
Mats Lusth,1962-01-01T00:00:00+02:00,1962-05-20,male,Sweden
Jonas Bergqvist,1962-01-01T00:00:00+02:00,1962-09-26,,{Sweden|Hässleholm}
Thomas Ljungbergh,1963-01-01T00:00:00+02:00,1963-02-19,male,Sweden
Magnus Roupé,1963-01-01T00:00:00+02:00,1963-03-23,male,{Stockholm|Sweden}
Magnus Svensson (ice hockey b. 1963),1963-01-01T00:00:00+02:00,1963-03-01,male,{Sweden|Tranås}
Pelle Eklund,1963-01-01T00:00:00+02:00,1963-03-22,,{Solna Municipality|Sweden}
Peter Madach,1963-01-01T00:00:00+02:00,1963-02-26,male,Sweden
Michael Hjälm,1963-01-01T00:00:00+02:00,1963-03-23,male,{Stockholm|Sweden}
Kjell Dahlin,1963-01-01T00:00:00+02:00,1963-03-02,male,{Sweden|Timrå}
Niklas Wikegård,1963-01-01T00:00:00+02:00,1963-10-03,male,{Sweden|Gävle}
Mikael Lindholm,1964-01-01T00:00:00+02:00,1964-12-19,,{Sweden|Gävle}
Tommy Albelin,1964-01-01T00:00:00+02:00,1964-05-21,,{Stockholm|Sweden}
Tommy Lehmann,1964-01-01T00:00:00+02:00,1964-02-03,male,{Stockholm|Sweden}
Ulf Samuelsson,1964-01-01T00:00:00+02:00,1964-03-26,male,{Sweden|Fagersta}
Jan Viktorsson,1964-01-01T00:00:00+02:00,1964-07-27,male,{Stockholm|Sweden}
Janne Karlsson (ice hockey b. 1964),1964-01-01T00:00:00+02:00,1964-05-30,,{Sweden|Kiruna}
Thomas Östlund,1965-01-01T00:00:00+02:00,1965-09-09,,{Stockholm|Sweden}
Peter Andersson (ice hockey b. 1965),1965-01-01T00:00:00+02:00,1965-08-29,male,{Sweden|Örebro|%C3%96rebr%C3%B6}
Peter Berndtsson,1965-01-01T00:00:00+02:00,1965-01-28,male,{Sweden|Grums}
Peter Eriksson (ice hockey),1965-01-01T00:00:00+02:00,1965-07-12,male,{Sweden|Kramfors}
